"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29"
232,14143,31455,53951,13378,88341,72191,17953,192886,162248,36129,114106,48865,64220,99027,49972,18085,71714,52849,16774,124848,37349,46955,26240,41792,5613,9409,11321,5518,11636
233,NA,NA,50,56,81,89,107,69,90,61,77,62,40,46,68,108,74,94,45,90,49,78,56,50,7,22,62,29,23
234,4510,3593,2201,1243,1518,1060,733,307,487,679,713,1471,1376,677,1523,814,603,781,1103,1374,848,4121,1491,682,60,131,416,317,434
235,NA,206,563,646,1062,1547,1264,920,1658,1895,1842,1795,2625,2924,12877,2909,1798,718,458,1843,1197,3411,1899,3115,309,484,1109,1363,2684
236,52000,18533,23741,10429,13804,17218,16401,15308,23007,36516,75579,27985,20385,48447,26376,20162,56248,30974,33199,71694,18589,24268,31643,21869,1617,3396,7794,18849,32821
237,15487,27642,23411,13804,13894,20995,19020,9872,13956,9229,20457,12559,23473,30743,22589,13389,20097,18031,7053,41222,15406,32415,23470,42416,4088,5522,9265,59883,4566
238,8244,23705,20789,13697,10783,7771,6012,3177,4142,3163,2876,2125,1666,1552,1807,1399,1394,1811,1278,1939,1438,2277,1500,1724,449,809,1970,1024,1189
239,4792,14598,57260,16052,12297,3421,4298,1718,2107,1473,1575,909,3104,2345,2091,1666,1875,1865,1199,1561,1387,1965,1048,695,146,219,361,98,111
240,194,118,147,98,96,63,45,31,25,25,26,16,21,14,16,13,6,16,22,15,6,19,19,8,3,5,13,9,7
241,2078,11206,3260,2581,3567,2393,2139,1355,2276,1931,1647,2641,4839,3105,2219,1020,1014,1763,1188,1884,1899,1800,1409,1290,103,150,574,477,2231
242,3561,2871,1375,601,864,861,857,484,555,432,391,347,376,289,244,144,464,1830,1040,1151,2492,1649,1251,973,326,285,2293,863,2532
243,275,96,160,839,660,515,525,283,387,325,485,1096,1521,1558,2868,4483,5948,15018,10624,10128,24041,18858,15237,9788,1484,2998,12351,5802,4735
244,3686,5550,2758,1334,1703,1370,1182,560,731,451,477,297,262,339,272,175,202,216,159,210,106,239,146,96,24,40,87,46,47
245,444,2710,6950,16595,22592,18752,29045,12397,17442,14826,12418,10319,7217,8384,7432,37407,56458,53025,24511,26334,15885,20299,11279,7712,1470,1776,3423,855,2372
246,11519,15536,15065,9680,10713,8476,10724,6388,10310,9280,10296,5965,5255,7691,7197,6335,7924,16990,17232,29926,31122,30882,19354,14839,1839,3050,8068,2740,5975
247,4686,5910,5604,3950,4769,3703,3910,1948,2657,1785,2605,2379,2245,2154,2880,2294,2547,3453,2184,3412,2967,8887,4761,3172,631,1060,1994,960,911
248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,184,115,129
