"FirstName_1","Surname_1","PositionsList.x","Team","index","PositionsList.y","points"
"Sergio","Aguero","FWD","MCI",581,"FWD",42
"","Ederson","GLK","MCI",36,"GLK",30
"James","Tomkins","DEF","CRY",124,"DEF",9
"Serge","Aurier","DEF","TOT",230,"DEF",6
"Ben","Davies","DEF","TOT",232,"DEF",7
"Emre","Can","MID","LIV",392,"MID",13
"Mohamed","Salah","MID","LIV",400,"MID",10
"David","Silva","MID","MCI",405,"MID",8
"Leroy","Sane","MID","MCI",414,"MID",13
"Will","Hughes","MID","WAT",501,"MID",0
"Glenn","Murray","FWD","BHA",545,"FWD",12
"Callum","Wilson","FWD","BOU",551,"FWD",2
"Alvaro","Morata","FWD","CHE",559,"FWD",1
"Oumar","Niasse","FWD","EVE",566,"FWD",1
"Romelu","Lukaku","FWD","MUN",584,"FWD",12
"Dwight","Gayle","FWD","NEW",586,"FWD",13
"Loris","Karius","GLK","LIV",32,"GLK",8
"Chris","Smalling","DEF","MUN",184,"DEF",8
"van","Hoorn","DEF","SWA",228,"DEF",10
"Serge","Aurier","DEF","TOT",230,"DEF",7
"Riyad","Mahrez","MID","LEI",386,"MID",10
"Mohamed","Salah","MID","LIV",400,"MID",8
"David","Silva","MID","MCI",405,"MID",9
"Ki","Sung-yueng","MID","SWA",474,"MID",13
"Heung-Min","Son","MID","TOT",489,"MID",32
"Will","Hughes","MID","WAT",501,"MID",4
"Callum","Wilson","FWD","BOU",551,"FWD",2
"Alvaro","Morata","FWD","CHE",559,"FWD",1
"Oumar","Niasse","FWD","EVE",566,"FWD",1
"Cenk","Tosun","FWD","EVE",569,"FWD",9
"Romelu","Lukaku","FWD","MUN",584,"FWD",8
"Petr","Cech","GLK","ARS",1,"GLK",15
"Shkodran","Mustafi","DEF","ARS",79,"DEF",12
"Leighton","Baines","DEF","EVE",127,"DEF",12
"Serge","Aurier","DEF","TOT",230,"DEF",13
"Henrikh","Mkhitaryan","MID","ARS",279,"MID",13
"Riyad","Mahrez","MID","LEI",386,"MID",11
"David","Silva","MID","MCI",405,"MID",16
"","Kenedy","MID","NEW",437,"MID",32
"Heung-Min","Son","MID","TOT",489,"MID",15
"Will","Hughes","MID","WAT",501,"MID",1
