"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35"
553,13,15,16,18,19,19,19,20,20,20,28,29,29,29,30,30,31,32,33,33,34,38,40,41,44,46,48,48,48,49,49,50,56,58,59
554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,5,5,5,6,6,6,6,6,6,6,7,7
555,NA,0,6,15,17,19,21,28,29,29,31,31,32,40,42,44,46,48,49,49,49,49,49,49,49,49,49,49,54,69,69,78,80,91,93
556,1,0,1,1,1,1,2,3,15,16,16,16,16,16,16,16,17,17,18,19,20,20,20,25,25,25,25,25,25,25,25,25,25,25,25
557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
558,5,6,7,8,9,10,11,12,12,13,14,14,14,25,26,33,35,36,36,36,36,36,36,36,37,38,43,44,45,47,47,48,49,63,63
559,10,12,24,30,31,48,49,49,50,55,63,72,74,75,83,85,85,86,86,92,94,96,97,97,97,97,101,102,103,103,103,109,114,118,118
560,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
561,2,3,4,5,7,9,9,9,9,9,9,10,11,13,15,14,16,27,27,29,31,36,41,46,54,59,64,66,71,72,74,75,75,76,77
562,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,4,6,8,8,8,8,8,8
564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
565,5,10,11,12,13,15,16,21,23,25,30,31,36,38,50,55,56,62,63,65,66,67,68,68,69,74,74,75,76,77,81,86,87,87,88
566,NA,NA,NA,NA,NA,11,13,14,19,20,29,39,39,39,39,40,40,40,40,41,45,47,47,54,56,58,70,71,72,72,72,73,73,73,74
567,9,17,18,19,21,22,23,32,38,40,42,42,42,57,62,70,78,91,91,91,92,93,94,95,97,97,99,101,102,102,105,106,107,109,111
568,2,2,4,5,6,6,7,7,7,7,7,8,8,8,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,4,4,5,5,6,15,23,36,38,40,42,44
