"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29"
288,56,51,43,250,331,324,228,96,57,65,165,81,55,46,78,50,44,50,39,127,48,99,85,104,30,48,140,63,69
289,2745,821,7623,2403,1156,726,731,3534,2755,1527,10239,646,2753,759,1087,164,369,572,171,324,323,2976,359,501,93,99,413,1512,1502
290,366,251,581,2176,8293,10330,14402,2860,1594,489,333,122,248,110,112,55,63,92,54,145,202,135,58,227,100,32,146,52,65
291,NA,NA,NA,NA,NA,NA,156,101,76,55,60,28,26,29,37,17,18,20,17,17,14,23,8,8,2,4,18,7,18
292,190,217,89,80,55,100,98,51,134,67,93,50,68,30,106,39,47,62,35,62,33,87,48,34,0,0,0,2,2
293,15,12,9,5,11,6,4,5,3,2,6,2,3,2,6,0,1,2,2,2,1,4,3,0,0,0,2,2,0
294,448,184,1721,529,351,218,454,184,1240,263,253,201,535,145,229,59,194,407,59,219,409,235,63,98,54,143,424,159,224
295,327,148,153,39,79,231,156,70,44,27,40,25,231,211,263,166,135,115,40,52,38,69,49,38,10,38,77,30,20
296,30,41,34,21,39,59,57,13,28,12,14,23,14,24,41,17,22,25,9,16,13,6,25,15,8,11,13,8,5
297,988,1419,4442,6009,2701,23458,40567,7667,11872,3076,10818,1914,4012,3952,5925,3977,3769,4422,1700,2885,5025,4865,2745,7216,1741,1446,15452,13279,10132
298,1057,683,835,3660,880,239,359,173,202,120,247,1628,701,434,240,70,139,70,15,22,229,370,234,73,72,75,189,102,106
299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,34,22,7,5,14,11,14
300,5109,709,385,155,200,170,73,12,75,13,118,81,45,58,1825,122,220,165,281,359,25662,1665,6759,25363,3804,1308,6655,1465,721
301,69,47,226,380,66,144,73,66,44,27,18,29,38,34,32,25,27,46,52,2928,437,423,317,150,43,50,186,1395,660
302,92,2,1,5,2,2,3,2,3,5,3,2,0,0,1,1,1,2,0,0,2,3,3,0,0,2,1,0,0
303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,13,17,24,12,12,5,1,16,7,9
304,871,426,342,740,11969,8479,2615,720,616,445,965,144,480,348,240,69,96,160,317,514,570,6395,16507,8817,13155,15257,9542,954,143
305,422,297,4323,2681,2487,2664,8639,4380,1998,1595,818,588,385,239,576,1086,238,1456,992,1558,1992,2550,2310,2671,1432,3196,6277,7259,5311
