"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","d_round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","d_round_34","round_35","round_36","round_37","d_round_37","round_38"
86,"H","A","A","H","A","H","A","H","A","H","A","H","A","H","H","A","A","H","H","A","A","H","","A","H","A","H","A","H","H","A","","H","H","A","H","","A","H","A","A"
87,"H","A","A","H","A","H","A","H","A","H","A","H","A","H","H","A","A","H","H","A","A","H","","A","H","A","H","A","H","H","A","","H","H","A","H","","A","H","A","A"
88,"H","A","A","H","A","H","A","H","A","H","A","H","A","H","H","A","A","H","H","A","A","H","","A","H","A","H","A","H","H","A","","H","H","A","H","","A","H","A","A"
89,"A","H","H","A","H","A","H","A","A","H","A","H","A","H","H","A","A","H","A","H","H","A","","H","A","A","H","A","H","A","H","H","A","H","A","H","","A","H","","A"
90,"A","H","H","A","H","A","H","A","A","H","A","H","A","H","H","A","A","H","A","H","H","A","","H","A","A","H","A","H","A","H","H","A","H","A","H","","A","H","","A"
91,"A","H","H","A","H","A","H","A","A","H","A","H","A","H","H","A","A","H","A","H","H","A","","H","A","A","H","A","H","A","H","H","A","H","A","H","","A","H","","A"
92,"A","H","H","A","H","A","H","A","A","H","A","H","A","H","H","A","A","H","A","H","H","A","","H","A","A","H","A","H","A","H","H","A","H","A","H","","A","H","","A"
93,"A","H","H","A","H","A","H","A","A","H","A","H","A","H","H","A","A","H","A","H","H","A","","H","A","A","H","A","H","A","H","H","A","H","A","H","","A","H","","A"
94,"A","H","H","A","H","A","H","A","A","H","A","H","A","H","H","A","A","H","A","H","H","A","","H","A","A","H","A","H","A","H","H","A","H","A","H","","A","H","","A"
95,"A","H","H","A","H","A","H","A","A","H","A","H","A","H","H","A","A","H","A","H","H","A","","H","A","A","H","A","H","A","H","H","A","H","A","H","","A","H","","A"
96,"A","H","H","A","H","A","H","A","A","H","A","H","A","H","H","A","A","H","A","H","H","A","","H","A","A","H","A","H","A","H","H","A","H","A","H","","A","H","","A"
97,"A","H","A","H","A","H","A","H","A","H","A","H","H","A","A","H","H","A","H","A","A","H","","A","H","A","H","A","H","H","A","","A","A","H","H","A","H","A","","H"
98,"A","H","A","H","A","H","A","H","A","H","A","H","H","A","A","H","H","A","H","A","A","H","","A","H","A","H","A","H","H","A","","A","A","H","H","A","H","A","","H"
99,"A","H","A","H","A","H","A","H","A","H","A","H","H","A","A","H","H","A","H","A","A","H","","A","H","A","H","A","H","H","A","","A","A","H","H","A","H","A","","H"
100,"A","H","A","H","A","H","A","H","A","H","A","H","H","A","A","H","H","A","H","A","A","H","","A","H","A","H","A","H","H","A","","A","A","H","H","A","H","A","","H"
101,"A","H","A","H","A","H","A","H","A","H","A","H","H","A","A","H","H","A","H","A","A","H","","A","H","A","H","A","H","H","A","","A","A","H","H","A","H","A","","H"
102,"A","H","A","H","A","H","A","H","A","H","A","H","H","A","A","H","H","A","H","A","A","H","","A","H","A","H","A","H","H","A","","A","A","H","H","A","H","A","","H"
103,"A","H","A","H","A","H","A","H","A","H","A","H","H","A","A","H","H","A","H","A","A","H","","A","H","A","H","A","H","H","A","","A","A","H","H","A","H","A","","H"
104,"H","A","H","A","H","A","H","A","H","A","H","A","A","H","H","A","A","H","A","H","H","A","","H","A","H","A","H","A","A","H","","H","H","A","A","","A","H","H","A"
105,"H","A","H","A","H","A","H","A","H","A","H","A","A","H","H","A","A","H","A","H","H","A","","H","A","H","A","H","A","A","H","","H","H","A","A","","A","H","H","A"
106,"H","A","H","A","H","A","H","A","H","A","H","A","A","H","H","A","A","H","A","H","H","A","","H","A","H","A","H","A","A","H","","H","H","A","A","","A","H","H","A"
107,"H","A","H","A","H","A","H","A","H","A","H","A","A","H","H","A","A","H","A","H","H","A","","H","A","H","A","H","A","A","H","","H","H","A","A","","A","H","H","A"
108,"H","A","H","A","H","A","H","A","H","A","H","A","A","H","H","A","A","H","A","H","H","A","","H","A","H","A","H","A","A","H","","H","H","A","A","","A","H","H","A"
109,"H","A","H","A","H","A","H","A","H","A","H","A","A","H","H","A","A","H","A","H","H","A","","H","A","H","A","H","A","A","H","","H","H","A","A","","A","H","H","A"
110,"H","A","H","A","H","A","H","A","H","A","H","A","A","H","H","A","A","H","A","H","H","A","","H","A","H","A","H","A","A","H","","H","H","A","A","","A","H","H","A"
111,"H","A","H","A","H","A","H","A","H","A","H","A","A","H","H","A","A","H","A","H","H","A","","H","A","H","A","H","A","A","H","","H","H","A","A","","A","H","H","A"
112,"H","A","H","A","H","A","H","A","H","A","H","A","A","H","H","A","A","H","A","H","H","A","","H","A","H","A","H","A","A","H","","H","H","A","A","","A","H","H","A"
113,"H","A","H","A","H","A","H","A","H","A","H","A","A","H","H","A","A","H","A","H","H","A","","H","A","H","A","H","A","A","H","","H","H","A","A","","A","H","H","A"
