FirstName;Surname;PositionsList;Team;Cost;PointsLastRound;TotalPoints;AveragePoints;AveragePointsPerDollar;TotalPointsPerDollar;GameweekWeighting;TransfersOut;YellowCards;GoalsConceded;GoalsConcededPoints;Saves;SavesPoints;GoalsScored;GoalsScoredPoints;ValueSeason;TransfersOutRound;PriceRise;PriceFallRound;LastSeasonPoints;PriceFall;ValueForm;PenaltiesMissed;Form;Bonus;FanRating;CleanSheets;CleanSheetPoints;Assists;SelectedByPercent;TransfersIn;OwnGoals;EAIndex;PenaltiesSaved;DreamteamCount;MinutesPlayed;TransfersInRound;PriceRiseRound;RedCards;BPS;NextFixture1;NextFixture2;NextFixture3;NextFixture4;NextFixture5;GW6Forecast;GW7Forecast;GW8Forecast;GW9Forecast;GW10Forecast;GW11Forecast;GW12Forecast;GW13Forecast;GW14Forecast;GW15Forecast;GW16Forecast;GW17Forecast;GW18Forecast;GW19Forecast;GW20Forecast;GW21Forecast;GW22Forecast;GW23Forecast;GW24Forecast;GW25Forecast;GW26Forecast;GW27Forecast;GW28Forecast;GW29Forecast;GW30Forecast;GW31Forecast;GW32Forecast;GW33Forecast;GW34Forecast;GW35Forecast;GW36Forecast;GW37Forecast;GW38Forecast
Adam;Smith;DEF;BOU;4600000;7;7;;;;;;;3;;;;1;;;;;;;;;;;;;;;;;;;;;;90;;;;;West Ham;Crystal Palace;West Brom;Man City;Everton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bradley;Smith;DEF;BOU;4000000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;West Ham;Crystal Palace;West Brom;Man City;Everton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Robert;Snodgrass;MID;HUL;5700000;7;7;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;90;;;;;Swansea;Man Utd;Burnley;Arsenal;Liverpool;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ramadan;Sobhi;MID;STK;5100000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Man City;Everton;Tottenham;Crystal Palace;West Brom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heung-Min;Son;MID;TOT;7400000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Crystal Palace;Liverpool;Stoke;Sunderland;Middlesbrough;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pape;Souare;DEF;CRY;4400000;2;2;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;Tottenham;Bournemouth;Middlesbrough;Stoke;Sunderland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Julian;Speroni;GLK;CRY;4400000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tottenham;Bournemouth;Middlesbrough;Stoke;Sunderland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Junior;Stanislas;MID;BOU;5500000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;West Ham;Crystal Palace;West Brom;Man City;Everton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maarten;Stekelenburg;GLK;EVE;5000000;2;2;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;West Brom;Stoke;Sunderland;Middlesbrough;Bournemoth;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jack;Stephens;DEF;SOU;4000000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Man Utd;Sunderland;Arsenal;Swansea;West Ham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
