"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35","round_36","round_37","round_38"
438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443,0,0,0,0,0,0,0,0,21,30,25,65,0,75,72,90,61,71,90,24,0,0,35,62,0,0,13,0,22,28,0,0,31,67,57,80,42,43
444,39,40,39,39,39,0,0,90,66,60,76,0,12,0,84,0,90,0,0,77,0,18,75,0,0,0,4,0,0,0,0,84,0,0,0,0,45,45
445,85,86,85,85,85,90,90,90,90,90,90,90,0,0,18,90,45,71,90,0,0,0,90,90,90,0,90,0,90,90,86,0,90,90,90,180,98,99
446,54,54,54,54,54,90,90,0,24,13,0,77,90,58,0,0,90,19,51,0,90,72,0,0,9,0,0,0,0,0,4,90,90,0,0,0,36,37
447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
448,75,74,74,74,74,90,90,90,90,90,90,90,90,90,90,90,0,90,90,90,90,90,90,90,90,0,90,0,90,90,90,0,0,90,90,180,135,135
449,90,90,90,90,90,90,90,87,90,90,76,90,78,90,45,65,90,56,0,90,79,90,75,45,90,0,90,0,79,90,89,70,90,23,86,100,112,113
450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,32,0,0,0,0,17,0,11,0,15,0,0,0,0,0,0,0,0,20,0,0,33,0,0,0
