"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35","round_36","round_37","round_38"
61,"CRY","Everton","Middlesbrough","Bournemouth","West Ham","Stoke","Sunderland","Tottenham","Liverpool","Man City","Leicester","Burnley","Hull City","Watford","Chelsea","Swansea","Man Utd","Arsenal","Southampton","Hull City","Tottenham","Sunderland","Middlesbrough","Stoke","West Ham","Bournemouth","Crystal Palace","Everton","Arsenal","Man Utd","Watford","Southampton","Liverpool","Leicester","Leicester","Burnley","Chelsea","Swansea"
62,"CRY","Everton","Middlesbrough","Bournemouth","West Ham","Stoke","Sunderland","Tottenham","Liverpool","Man City","Leicester","Burnley","Hull City","Watford","Chelsea","Swansea","Man Utd","Arsenal","Southampton","Hull City","Tottenham","Sunderland","Middlesbrough","Stoke","West Ham","Bournemouth","Crystal Palace","Everton","Arsenal","Man Utd","Watford","Southampton","Liverpool","Leicester","Leicester","Burnley","Chelsea","Swansea"
63,"CRY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hull City","Watford","Chelsea","Swansea","Man Utd","Arsenal","Southampton","Hull City","Tottenham","Sunderland","Middlesbrough","Stoke","West Ham","Bournemouth","Crystal Palace","Everton","Arsenal","Man Utd","Watford","Southampton","Liverpool","Leicester","Leicester","Burnley","Chelsea","Swansea"
64,"CHE","Bournemouth","Man City","Watford","West Brom","Southampton","Middlesbrough","Crystal Palace","Sunderland","Everton","Stoke","Tottenham","Man Utd","Arsenal","Liverpool","Burnley","Hull City","Swansea","Leicester","Man Utd","Crystal Palace","Middlesbrough","Man City","Southampton","West Brom","Watford","Chelsea","Bournemouth","Leicester","Hull City","Arsenal","Swansea","Sunderland","Everton","Stoke","Tottenham","Liverpool","Burnley"
65,"CHE","Stoke","West Ham","Man Utd","Bournemouth","Swansea","Tottenham","Everton","Southampton","West Brom","Middlesbrough","Crystal Palace","Burnley","Chelsea","Leicester","Watford","Arsenal","Hull City","Liverpool","Burnley","Everton","Tottenham","West Ham","Swansea","Bournemouth","Sunderland","Sunderland","Liverpool","Liverpool","Arsenal","Chelsea","Hull City","Southampton","Man Utd","Middlesbrough","Crystal Palace","Leicester","Watford"
66,"CHE","Bournemouth","Man City","Watford","West Brom","Southampton","Middlesbrough","Crystal Palace","Sunderland","Everton","Stoke","Tottenham","Man Utd","Arsenal","Liverpool","Burnley","Hull City","Swansea","Leicester","Man Utd","Crystal Palace","Middlesbrough","Man City","Southampton","West Brom","Watford","Chelsea","Bournemouth","Leicester","Hull City","Arsenal","Swansea","Sunderland","Everton","Stoke","Tottenham","Liverpool","Burnley"
67,"CHE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"LIV","Leicester","Watford","Southampton","Hull","Chelsea","Burnley","Swansea","Middlesbrough","Sunderland","Tottenham","Man Utd","Bournemouth","West Ham","Stoke","Everton","Man City","West Brom","Crystal Palace","Bournemouth","Swansea","Burnley","Watford","Chelsea","Hull City","Liverpool","Liverpool","West Brom","West Brom","Man City","West Ham","Crystal Palace","Middlesbrough","Leicester","Tottenham","Man Utd","Stoke","Everton"
69,"LIV","Leicester","Watford","Southampton","Hull","Tottenham","West Ham","Watford","Arsenal","Bournemouth","Man City","Chelsea","Leicester","Hull City","Southampton","Liverpool","Swansea","Burnley","Man Utd","Leicester","Watford","West Ham","West Brom","Tottenham","Everton","Crystal Palace","Stoke","Man Utd","Man Utd","Swansea","Hull City","Burnley","Arsenal","Bournemouth","Man City","Chelsea","Southampton","Liverpool"
70,"LIV","Leicester","Watford","Southampton","Hull","Chelsea","Burnley","Swansea","Middlesbrough","Sunderland","Tottenham","Man Utd","Bournemouth","West Ham","Stoke","Everton","Man City","West Brom","Crystal Palace","Bournemouth","Swansea","Burnley","Watford","Chelsea","Hull City","Liverpool","Liverpool","West Brom","West Brom","Man City","West Ham","Crystal Palace","Middlesbrough","Leicester","Tottenham","Man Utd","Stoke","Everton"
71,"LIV","Leicester","Watford","Southampton","Hull","Chelsea","Burnley","Swansea","Middlesbrough","Sunderland","Tottenham","Man Utd","Bournemouth","West Ham","Stoke","Everton","Man City","West Brom","Crystal Palace","Bournemouth","Swansea","Burnley","Watford","Chelsea","Hull City","Liverpool","Liverpool","West Brom","West Brom","Man City","West Ham","Crystal Palace","Middlesbrough","Leicester","Tottenham","Man Utd","Stoke","Everton"
72,"LIV","Leicester","Watford","Southampton","Hull","Chelsea","Burnley","Swansea","Middlesbrough","Sunderland","Tottenham","Man Utd","Bournemouth","West Ham","Stoke","Everton","Man City","West Brom","Crystal Palace","Bournemouth","Swansea","Burnley","Watford","Chelsea","Hull City","Liverpool","Liverpool","West Brom","West Brom","Man City","West Ham","Crystal Palace","Middlesbrough","Leicester","Tottenham","Man Utd","Stoke","Everton"
73,"LIV","Leicester","Watford","Southampton","Hull","Chelsea","Burnley","Swansea","Middlesbrough","Sunderland","Tottenham","Man Utd","Bournemouth","West Ham","Stoke","Everton","Man City","West Brom","Crystal Palace","Bournemouth","Swansea","Burnley","Watford","Chelsea","Hull City","Liverpool","Liverpool","West Brom","West Brom","Man City","West Ham","Crystal Palace","Middlesbrough","Leicester","Tottenham","Man Utd","Stoke","Everton"
