"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35","round_36","round_37","round_38"
87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,7,2,2,8,-1,6,0,5,6,0,3,0,1,1,1,6,1,1,1,0,0,6,1,0,1,1,2,1,7,7,1,-1,0,6,8,7,2,2
90,0,1,1,NA,0,0,0,0,0,0,0,15,1,7,1,8,8,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,1,2,2,6,0,5,1,13,6,1,1,7,0,0,10,6,1,1,12,11,1,1,0,0,1,1,2,1,6,6,1,1,0,14,6,1,2,2
93,1,2,2,6,0,6,0,2,9,1,1,6,0,0,6,6,1,1,6,-2,0,0,1,0,1,0,0,1,6,6,1,1,0,6,8,1,2,1
94,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,1,0,-1,-1,3,2,0,0,0,0,0,0,0,0,0,0,0
95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,1,1,2,6,0,8,1,9,8,1,1,8,0,7,1,7,1,-1,7,0,1,0,1,-1,1,3,2,0,7,9,2,1,0,6,6,1,2,2
97,1,0,2,NA,0,0,1,6,5,2,2,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,5,0,-2,0,0,0,0,0,0,0,0,0
98,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
99,1,6,1,2,0,6,2,1,2,6,1,0,0,0,4,2,0,0,2,1,8,0,5,1,1,2,1,5,6,1,6,6,1,0,6,1,1,1
100,2,6,1,1,-1,6,2,4,2,6,1,0,1,1,4,1,1,6,2,7,7,1,6,1,2,2,0,0,7,1,8,7,-1,0,0,0,0,0
101,0,NA,0,NA,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,6,1,1,1
102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,1,6,1,2,1,6,2,1,2,1,0,0,1,1,7,2,1,5,2,1,6,1,6,1,2,2,0,1,6,1,5,8,1,1,4,1,1,1
104,0,NA,NA,NA,0,1,6,6,8,6,13,6,2,6,6,7,6,6,3,1,21,6,2,8,2,2,2,0,6,1,2,8,0,4,6,14,8,2
105,1,2,6,1,1,1,7,6,7,8,6,5,2,2,9,8,12,6,1,1,6,7,2,2,2,2,2,0,2,1,5,3,1,1,5,10,20,2
106,2,1,6,1,1,1,6,6,14,6,6,8,2,0,7,7,8,7,7,0,6,15,2,2,2,2,2,0,8,0,2,2,0,7,14,6,6,6
107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,0,NA,NA,NA,1,1,6,6,5,6,6,5,1,2,6,6,7,6,1,1,7,6,10,2,1,1,2,0,7,0,2,2,1,1,8,6,8,2
109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,1,1,6,1,1,0,2,10,3,6,3,3,9,2,3,2,3,3,1,2,3,8,2,3,5,2,3,0,2,0,0,1,1,2,3,3,3,2
111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,2,1,2,2,8,0,0,0,0,0,1,1,3,6,0,1,2,2,1,0,1,2,15,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
116,2,2,1,2,1,1,2,2,1,0,0,0,0,7,1,3,1,1,0,1,1,2,10,-1,1,0,0,0,1,1,0,1,0,2,1,-1,1,0
117,0,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6
118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,1,NA,1,2,5,1,2,1,1,0,0,1,0,1,1,0,2,2,1,3,0,0,0,0,0,0,0,0,0,1,1,6,1,4,1,0,6,1
120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
