"round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35","round_36","round_37","round_38"
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,5.26332387170581,4.22837025502178,3.49520151716434,7.26651092723243,2.54286559645997,3.88666772930906,1.23997973118215,2.07360881335789,2.15509470697916,4.31897588475838,6.66556132041327,3.11227045145339,2.85361017047923,2.27091618600653,4.10778280327841,3.45900632050508,3.44124760186897,3.04703313230785,1.83392723751139,3.35710228135303,6.47960391304479,4.62199699279864,2.075552293287,0.716236023944056,3.76258936198516,3.68808264194585,3.18625572032203,4.46110918642979,4.14816781192887,7.90466715397114,3.99763188042025,3.95329066141643
NA,NA,NA,2.11161915181855,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14600432351409,1.28924756708081,2.08226162083546,0,0,0,0,0,0.725754768455443,0.440369264343448,0.711239673086335,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.817250747795587,1.30172735071148,1.11034835929746,1.73668008193654,1.03892062120439,2.49941276957921,7.52603931419013,6.02647246050452,6.71759255596529,3.9306221590879,0.821278850791176,1.28670286454285,0.504260770452692,1.08838719311951,2.57542483454561,5.48423253994795,2.73189792177854,4.13296050106049,2.05481192729414,2.54775083662194,4.75142343163623,2.16717543702414,4.53605464164097,3.94749781545114,2.17795476995648,1.69874658501138,1.68077770816487,2.26615345774579,6.36680144163012,3.29019907118982,6.30637047265274,2.48427614094387,3.64397810535683,1.93989661092255,4.52653580041894
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.435978989934004,0.435978989934004,0.267212929314389,0,0,0,0,0,0,0,0.239769772381965,0.239769772381965,0.391203312833732,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,3.28598246043681,3.65434834604542,2.50062359009427,1.5215863237575,2.48570204272069,2.12804949976705,3.56122117257505,1.95084254183231,2.28262436334041,2.38038487471905,4.65124523779379,3.04795742896894,3.41782253683167,3.36902058219621,1.85552901806983,2.73986650084891,4.05995598603855,2.72129761660707,3.02853149319163,3.04929362803513,4.84028369747286,3.7161645327311,3.62524776125385,3.65984050019851,1.20009085302194,1.95574133653312,1.05997662499876,2.78882563782083,4.42615100975107,4.40267751014858,2.14483465509505,1.06045977171992,1.76228527860099,1.02829051877467,2.79945618283019
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
