"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38"
"64",1,0.99,1.01,0.99,0.98,0.97,1,1,1.01,1.02,1,1,0.99,0.98,0.97,0.96,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,1.01,1.02,1.03,1
"65",1,0.99,1,1,1,0.99,0.98,0.97,0.96,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
"66",1,0.99,1,1,1,0.99,0.98,0.97,0.96,0.95,0.95,0.95,1,1,0.99,0.98,1.01,1.02,1,1,1,1.01,1,0.99,1,0.99,1,0.99,1.01,0.99,0.98,1,1.01,0.99,0.98,0.97,0.96,0.95
"67",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"68",1,0.99,1.01,1,1,1,1.01,1.02,1,1.01,1,1,0.99,0.98,0.97,1.01,0.99,0.98,1.01,1.02,0.99,0.98,0.97,0.96,0.95,1.01,0.99,0.98,0.97,0.96,0.95,1.01,0.99,0.98,1.01,0.99,0.98,1.01
"69",1,1.01,1,1,1,0.99,0.98,1,1,0.99,1.01,1,0.99,0.98,1.01,1,0.99,1.01,1,0.99,1.01,1.02,1.03,0.99,1,1.01,0.99,0.98,0.97,0.96,0.95,0.95,0.95,0.95,1.01,1.02,0.99,0.98
"70",1,0.99,1,1,1,0.99,0.98,0.97,0.96,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
"71",1,0.99,1,1,1,0.99,0.98,0.97,0.96,0.95,0.95,0.95,0.95,0.95,1,1,0.99,0.98,1.01,1.02,0.99,1.01,1,0.99,0.98,0.97,0.96,0.95,0.95,0.95,0.95,1.01,0.99,0.98,1.01,0.99,0.98,0.97
"72",1,0.99,1.01,1,1,0.99,0.98,0.97,0.96,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,1,0.99,0.98,1.01,1.02
"73",1,0.99,1,1,1,0.99,0.98,0.97,0.96,0.95,0.95,0.95,1,0.99,0.98,0.97,0.96,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
"74",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"75",1,0.99,1.01,1,1.01,1,1.01,1.02,0.99,1.01,1,0.99,1,1,0.99,1,0.99,0.98,1.01,1.02,0.99,1.01,1.02,0.99,0.98,1.01,0.99,0.98,0.97,0.96,0.95,0.95,0.95,1,1.01,0.99,1.01,1
"76",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"77",1,0.99,1,1,1,0.99,0.98,0.97,0.96,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
"78",1,0.99,1.01,1,0.99,1,1.01,1.02,0.99,1.01,0.99,1,1,1.01,1,1,0.99,0.98,0.97,1.01,0.99,1.01,1,0.99,1.01,0.99,0.98,0.97,0.96,0.95,0.95,1.01,0.99,1,1.01,0.99,1.01,1.02
"79",1,0.99,1,1,1,1,1.01,1.02,0.99,1.01,1,1,1,0.99,1,0.99,0.98,0.97,0.96,0.95,0.95,1.01,1.02,0.99,0.98,1.01,0.99,0.98,0.97,0.96,1.01,1.02,0.99,0.98,0.97,0.96,1.01,1.02
"80",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"81",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"82",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"83",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"84",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"85",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"86",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"87",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"88",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"89",1,1.01,1,1,1.01,0.99,1.01,0.99,1.01,1.02,0.99,1,0.99,0.98,0.97,0.96,1.01,0.99,0.98,0.97,0.96,0.95,1.01,0.99,0.98,0.97,0.96,1,0.99,1.01,1.02,0.99,0.98,0.97,1.01,1.02,1.03,1
"90",1,0.99,0.98,0.97,1,0.99,0.98,0.97,0.96,0.95,0.95,0.95,1.01,0.99,1.01,0.99,1.01,1.02,0.99,1.01,0.99,0.98,0.97,0.96,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,1
"91",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"92",1,0.99,1,1,1.01,0.99,1.01,0.99,1.01,1.02,0.99,0.98,1.01,0.99,0.98,1.01,1.02,0.99,0.98,1.01,1.02,0.99,0.98,0.97,0.96,0.95,0.95,1,0.99,1.01,1.02,0.99,0.98,0.97,1.01,1.02,0.99,1
"93",1,0.99,1,1,1.01,0.99,1.01,0.99,1,1.01,0.99,0.98,1.01,0.99,0.98,1.01,1.02,0.99,0.98,1.01,0.99,0.98,0.97,0.96,0.95,0.95,0.95,0.95,0.95,1.01,1.02,0.99,0.98,0.97,1.01,1.02,0.99,1
"94",1,0.99,1,1,1,0.99,0.98,0.97,0.96,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,1,1,0.99,0.98,0.97,0.96,0.95,0.95,0.95,0.95,0.95,0.95
"95",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"96",1,0.99,0.98,1,1.01,0.99,1.01,0.99,1.01,1.02,0.99,0.98,1.01,0.99,1.01,0.99,1.01,0.99,0.98,1.01,0.99,0.98,0.97,0.96,0.95,0.95,1,1,0.99,1.01,1.02,1,0.99,0.98,1.01,1.02,0.99,1
"97",1,0.99,0.98,1,1,0.99,0.98,0.97,1.01,1.02,1,1,0.99,0.98,0.97,0.96,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,1,0.99,0.98,1.01,0.99,0.98,0.97,0.96,0.95,0.95,0.95,0.95,0.95,0.95
"98",1,1,1,1,1,1,1,1,1,0.99,0.98,0.97,0.96,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
"99",1,0.99,1.01,0.99,1,0.99,1.01,1,0.99,1,1.01,0.99,0.98,0.97,0.96,1,1,0.99,0.98,1,0.99,1.01,0.99,1.01,0.99,0.98,1,0.99,1.01,1.02,0.99,1.01,1.02,0.99,0.98,1.01,0.99,0.98
