"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35","round_36","round_37","round_38"
212,"MID","MCI","EVE","TOT","CRY","WBA","MUN","Sunderland","Hull City","SWA","WHU","BOU","WAT","BUR","ARS","SOU","LEI","LIV","CHE","WAT","Sunderland","MUN","EVE","WBA","CRY","TOT","Middlesbrough","CHE","CHE","LEI","BUR","LIV","Hull City","SWA","WHU","BOU","ARS","SOU"
213,"MID","MCI","EVE","TOT","CRY","WBA","MUN","Sunderland","Hull City","SWA","WHU","BOU","WAT","BUR","ARS","SOU","LEI","LIV","CHE","WAT","Sunderland","MUN","EVE","WBA","CRY","TOT","Middlesbrough","CHE","CHE","LEI","BUR","LIV","Hull City","SWA","WHU","BOU","ARS","SOU"
214,"MID",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,"MID",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,"MID","SWA","MUN","BUR","ARS","LIV","CHE","BOU","STK","WAT","SOU","Sunderland","WBA","Middlesbrough","CRY","TOT","WHU","MCI","EVE","WBA","BOU","CHE","MUN","LIV","ARS","BUR","LEI","SWA","EVE","WHU","Middlesbrough","MCI","STK","WAT","SOU","Sunderland","CRY","TOT"
217,"MID","CRY","LIV","STK","Sunderland","Middlesbrough","MCI","WBA","BOU","LEI","ARS","WHU","CHE","SWA","MUN","Hull City","BUR","SOU","WAT","CHE","WBA","MCI","Sunderland","Middlesbrough","LIV","STK","EVE","SOU","SOU","BUR","SWA","WAT","BOU","CRY","ARS","WHU","MUN","Hull City"
218,"MID","WAT","BUR","SWA","LIV","ARS","Hull City","LEI","MUN","SOU","EVE","Middlesbrough","TOT","MCI","WBA","Sunderland","CRY","BOU","STK","TOT","LEI","Hull City","LIV","ARS","BUR","SWA","WHU","STK","STK","CRY","MCI","BOU","MUN","SOU","EVE","Middlesbrough","WBA","Sunderland"
219,"BUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,"BUR","Hull","LEI","CHE","SOU","MCI","LIV","ARS","WAT","STK","MUN","EVE","CRY","TOT","Sunderland","WBA","Middlesbrough","WHU","BOU","CRY","ARS","LIV","SOU","MCI","LEI","CHE","BUR","Hull City","BOU","Middlesbrough","TOT","WHU","WAT","STK","MUN","EVE","Sunderland","WBA"
221,"BUR","Hull","LEI","CHE","SOU","MCI","LIV","ARS","WAT","STK","MUN","EVE","CRY","TOT","Sunderland","WBA","Middlesbrough","WHU","BOU","CRY","ARS","LIV","SOU","MCI","LEI","CHE","BUR","Hull City","BOU","Middlesbrough","TOT","WHU","WAT","STK","MUN","EVE","Sunderland","WBA"
222,"BUR","Hull","LEI","CHE","SOU","MCI","LIV","ARS","WAT","STK","MUN","EVE","CRY","TOT","Sunderland","WBA","Middlesbrough","WHU","BOU","CRY","ARS","LIV","SOU","MCI","LEI","CHE","BUR","Hull City","BOU","Middlesbrough","TOT","WHU","WAT","STK","MUN","EVE","Sunderland","WBA"
223,"BUR","Hull","LEI","CHE","SOU","MCI","LIV","ARS","WAT","STK","MUN","EVE","CRY","TOT","Sunderland","WBA","Middlesbrough","WHU","BOU","CRY","ARS","LIV","SOU","MCI","LEI","CHE","BUR","Hull City","BOU","Middlesbrough","TOT","WHU","WAT","STK","MUN","EVE","Sunderland","WBA"
