"index","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35","round_36","round_37"
280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,13,23,26,36,39,44,49,51,53,64,74,76,78,84,84,84,90,96,98,100,103,103,103,103,103,108,122,124,134,137,139,147,167
282,2,2,2,2,2,6,7,8,9,10,10,10,10,10,11,12,15,17,18,18,18,18,18,18,20,20,21,22,27,28,30,39,56
283,4,7,8,10,13,15,17,20,20,21,22,25,32,33,36,36,38,40,42,47,48,50,50,54,55,56,58,60,61,61,61,61,61
284,11,12,15,14,14,14,17,17,20,22,24,26,28,31,34,39,42,41,41,41,41,41,42,42,48,49,52,54,60,62,64,78,85
285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298,11,19,21,23,26,28,29,31,32,34,35,38,40,42,45,46,48,48,49,55,56,58,59,61,61,60,68,69,71,78,80,81,84
299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,5,5,5,5,6,7,8,8,8,23,25,25,26,26,34,47,51,53,55,60,61,69,71,73,76,79,79,81,81,87,93,94,100
301,4,5,6,12,14,15,23,25,26,28,29,30,30,32,33,35,35,35,35,36,36,37,37,38,41,44,44,44,44,45,45,45,49
302,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,6,7,7,7,7,8,8,8
303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,10,13,15,17,18,19,20,20,21,22,22,22,23,24,24,24,24,25,26,27,29,29,29,29,30,30,32,33,33,33,33,34,36
305,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,9,11,17
306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
307,0,0,0,0,0,0,0,1,1,1,5,16,17,17,17,17,18,19,19,21,22,24,28,29,32,35,37,39,41,55,58,60,64
308,5,16,20,41,41,41,43,49,51,52,52,52,52,53,59,64,71,73,75,75,75,75,75,75,75,75,75,75,77,78,79,88,107
309,11,13,15,17,17,19,19,19,19,19,19,19,19,21,24,25,27,32,34,36,38,40,38,38,41,42,42,42,42,42,42,42,44
310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311,8,9,10,10,22,25,27,29,30,32,33,35,37,40,45,47,47,47,48,50,51,52,53,55,58,60,60,60,60,60,63,65,69
312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,10,17,22,23,24,25,26,29,31,33,33,37,39
313,11,13,14,16,16,17,17,19,21,23,23,24,24,26,27,29,29,31,32,33,35,37,38,40,41,44,46,48,48,48,48,49,50
314,18,30,33,33,33,33,35,36,38,38,39,39,40,41,44,45,48,50,51,51,51,51,51,51,51,52,53,53,53,53,53,53,54
315,7,10,12,14,19,22,35,37,38,38,38,38,38,39,40,41,41,41,41,41,41,41,41,41,41,41,41,41,41,42,42,43,47
316,3,11,13,15,16,19,21,23,25,26,34,35,37,39,39,40,43,45,48,46,46,46,48,50,53,55,61,64,66,67,70,72,76
317,1,1,1,1,1,2,3,5,7,7,11,13,15,18,18,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22
318,15,18,20,21,23,25,26,28,33,35,37,39,41,44,48,48,50,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
319,NA,NA,2,2,2,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,8
320,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,7,7,11,12,12,13,18,19,22,32,32,35,37,44,44,47,47,47,47,47,47,47,49,49,56,57,57,66,70,70,70,71,72
323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,4,4,4,4,4,5,5,8,10,13
324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
326,20,22,24,24,26,36,38,39,41,41,42,48,49,53,61,64,73,76,78,90,93,96,101,110,113,114,117,122,126,129,131,132,144
327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
328,17,19,22,24,26,28,30,31,31,31,31,31,31,31,34,34,36,38,40,41,43,51,52,52,53,56,59,61,62,64,66,69,69
329,6,7,7,7,7,7,7,7,7,11,15,26,26,32,41,42,43,47,48,54,54,67,71,71,71,81,83,84,84,88,92,104,121
330,28,30,33,41,49,63,82,86,88,97,100,100,103,113,118,120,126,129,134,145,147,152,163,163,163,168,181,191,193,202,207,210,224
331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
332,10,12,15,18,26,29,32,34,36,37,39,42,44,44,46,48,51,53,55,57,60,62,64,64,66,68,69,73,75,76,79,79,83
333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
335,7,8,9,15,28,31,47,50,57,58,61,63,63,76,76,77,87,90,91,94,104,116,122,122,124,126,128,129,131,135,145,148,162
