"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38"
"33","1.074389817","0.950853143","1.055130572","1.053279409","1.055709899","1","0.973102421","1.04177622","0.965243065","0.957642726","0.965138044","1.026031003","0.946964144","0.951627089","0.965800675","0.943518084","0.996888393","0.97986262","1.088475313","0.937931034","1.064529388","0.937004638","1.101456083","1","1.084301984","0.982313646","1.084103349","0.96093267","1.079143033","1.033357825","0.95333255","0.977430351","0.977401628","0.963260991","0.952129222","0.993303571","0.979144056","0.914530416"
"34","1.074389817","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"35","1","0.981187108","0.994167473","1.057382334","0.944582541","0.976666569","1.063053065","1.002629273","1.035400041","0.96348914","0.936476369","0.949985376","0.956932188","1.081207857","1.018640834","0.961719117","1.09963013","1","1.078494687","0.959060895","1.007574423","1.084952739","0.987552842","0.95053574","0.942233181","0.936405638","0.933435348","1.064562664","1.066212126","1.067450404","1.102033619","1","1.00561286","1.086018032","0.916886931","0.959234023","1.017277287","0.942687863"
"36","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"37","0.945930165","1.034854893","1","1.091964129","0.953940635","1.055713324","0.957331854","1.067484663","1.055277851","0.957642726","0.962213383","1.092717169","0.968072943","0.994429786","1.063261412","0.955260686","0.982211002","0.946985264","0.942288499","0.980190756","1.079795667","0.985733576","1","0.995743432","0.958670894","0.939348459","0.936378083","0.929137104","0.928674288","0.986333578","1.029152463","0.924532738","1.107878574","0.957387448","0.943318649","1.058505639","1.087090434","0.962632721"
"38","0.945930165","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1.058505639","1.087090434","0.962632721"
"39","0.945930165","1.034854893","1","1.091964129","0.953940635","1.055713324","0.957331854","1.067484663","1.055277851","0.957642726","0.962213383","1.092717169","0.968072943","0.994429786","1.063261412","0.955260686","0.982211002","0.946985264","0.942288499","0.980190756","1.079795667","0.985733576","1","0.995743432","0.958670894","0.939348459","0.936378083","0.929137104","0.928674288","0.986333578","1.029152463","0.924532738","1.107878574","0.957387448","0.943318649","1.058505639","1.087090434","0.962632721"
"40","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"41","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"42","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
