"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35","round_36","round_37","round_38"
233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,201,201,201,201,804,527,22463,4039,9144,4879,15518,954,6275,4869,9820,17031,13556,53826,27466,64398,30911,15709,1654,1396,1334,463,228,580,1123,391,397,504,224,201,129,119,8904,8904
235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,10,10,10,10,41,33,45,86,43,48,199,72,71,37,32,19,15,265,2373,837,221,127,13,35,92,46,25,149,80,227,118,14637,472,427,3661,2412,709,709
237,12033,12033,12033,12033,48131,22259,61929,32169,22248,11885,29898,6319,12042,14497,19243,13576,4085,1315,2966,14912,1008,558,672,676,6398,1845,2830,12256,21886,14374,19274,31264,13480,10798,19837,18847,14599,14599
238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,433,433,433,433,1733,934,28,298,646,14749,8285,2936,213,157,116,222,764,41,1225,3783,4529,5766,3236,623,1276,2930,2506,6422,5160,19319,921,559,3053,2340,754,85,2773,2773
240,329,329,329,329,1317,478,18,11,8,8,16,13,24,14,15,7,42,30,89,87,52,27,82,77,57,53,19,24,119,863,7035,2729,71,13,6,7,418,418
241,7298,7298,7298,7298,29191,12103,17308,106877,78459,106852,19305,19206,2342,5040,15069,12806,11988,4276,4928,4949,4415,288,2418,4205,3656,1449,536,2223,3157,2207,2770,5523,8398,3127,961,1561,14805,14805
242,357,357,357,357,1429,83,31,33,201,294,3606,3065,1297,216,142,252,332,64,57,147,67,187,984,286,319,70,35,71,1200,84,96,341,329,195,379,888,492,492
243,14,14,14,14,55,42,37,41,32,34,28,4,29,374,44,25,75,11,22,58,47,115,50,40,11,7,7,7,17,5,8,25,8,2,9,37,44,44
244,51,51,51,51,204,412,491,1799,2448,5683,5449,1837,331,234,130,130,377,266,1598,3418,4118,1086,13042,4374,2726,2117,516,1398,1919,44,20,28,27,19,9,23,1618,1618
245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,1078,1078,1078,1078,4312,2620,1521,1712,753,1442,1158,368,383,144,62,36,45,69,71,76,38,39,88,99,71,60,51,46,43,11,102,207,2841,265,538,1734,650,650
247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,823,1124,385,349,127,139,103,88,56,43,85,34,40,44,69,121,291,637,NA,NA
248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
249,664,664,664,664,2654,1637,376,934,1381,2675,6293,18395,5771,2262,10798,6925,1161,8290,5650,7128,5130,2163,3566,2090,856,372,250,554,1380,135,55,31,1316,858,1727,4763,3002,3002
250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,27,13,7,9,7,8,8,9,6,9,14,9,12,NA,NA
251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
252,199,199,199,199,797,490,373,452,190,231,1494,877,1142,561,185,228,207,268,868,981,1072,800,617,2547,1682,2059,1599,300,19385,11249,9002,6551,2294,2845,1197,8195,2097,2097
253,9019,9019,9019,9019,36077,18141,7977,1150,998,2412,7409,5332,3570,12572,9610,1384,992,5304,15158,3178,997,535,205,841,4143,3101,1718,995,1289,3103,2959,1728,1141,2877,1662,394,5311,5311
254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,46,46,46,46,185,424,241,259,244,1395,441,326,200,320,105,86,141,165,50,95,102,105,61,129,474,151,73,99,31,31,53,54,68,464,3153,52071,289,289
257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
259,28188,28188,28188,28188,112751,37420,11962,7440,12443,13779,56808,34549,127684,33553,27910,15133,9580,10807,27306,58317,20136,59433,33987,49762,58756,53810,32267,12771,26683,26995,19925,11750,6040,7358,2654,6266,31560,31560
260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261,97,97,97,97,387,1156,1229,1482,531,1259,4043,11438,12023,4508,4802,4216,6086,7622,5360,5929,1121,8581,5164,7656,6387,3365,2038,1464,2032,1431,2017,907,351,645,263,528,3316,3316
262,652,652,652,652,2607,1996,1368,1698,755,1642,1375,404,464,556,259,208,258,223,304,489,390,299,171,185,148,107,106,71,85,31,60,58,72,46,41,96,534,534
263,22,22,22,22,88,62,34,27,19,41,46,11,17,28,16,10,17,17,19,31,15,9,4,13,10,4,12,2,7,5,4,3,2,2,1,5,26,26
264,141,141,141,141,565,239,39,19,8,7,15,5,4,8,6,8,14,6,51,157,372,696,424,171,140,65,198,973,830,146,509,1288,29,60,20,183,222,222
265,3456,3456,3456,3456,13824,4545,3248,3569,517,1281,4011,1886,2439,489,263,647,790,470,691,1838,8513,1938,959,2802,1940,838,1125,473,571,186,1029,3799,5443,7405,5146,17740,2666,2666
266,5,5,5,5,20,37,596,2267,2582,2543,1617,479,345,160,2595,3254,1004,465,628,1707,1104,482,360,793,422,382,7590,416,525,93,72,84,89,86,25,178,946,946
267,538,538,538,538,2151,3244,23859,6914,4570,8319,3055,6415,17808,15156,11094,10812,3232,2666,2643,2979,1395,2193,1191,2607,1391,542,3549,452,984,169,923,1798,256,282,575,1310,4146,4146
268,93,93,93,93,371,21,14,9,3,3,13,7,25,53,45,31,23,16,10,15,8,5,2,10,13,11,34,5,21,14,75,740,38,401,38,25,75,75
269,62,62,62,62,249,350,216,1630,1042,1632,1303,310,539,325,1641,2936,1268,757,488,1848,519,70,23,43,40,24,45,14,17,6,8,15,11,14,6,5,510,510
270,56,56,56,56,226,163,207,151,99,118,37,25,21,30,17,19,35,34,31,118,97,56,3,10,11,2,3,2,7,2,0,4,12,3,2,4,57,57
271,83,83,83,83,332,635,1240,11423,30307,5367,4077,893,2377,1663,7345,11409,10915,58089,22683,30579,14798,9134,6999,14638,3997,2013,4758,2335,213,33,106,111,290,681,567,2547,7444,7444
272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,37,72,46,37,33,62,38,52,43,39,52,23,26,41,24,6,4,10,NA,NA
