FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Gaetan,Bong,DEF,BHA,4400000,2,45,2.4,5.45454545454545E-07,1.02272727272727E-05,0,13241,2,25,0,0,0,0,0,10.2,86,-1,0,45,1,0.2,0,1,3,0,4,0,0,0.2,14402,1,0,0,1,1702,274,0,0,284,Crystal Palace,Tottenham,Burnley,Man Utd,Man City,5.3,0,1.7,3.9,1.7,41.4
Wilfried,Bony,FWD,SWA,5600000,0,33,2.2,3.92857142857143E-07,5.89285714285714E-06,0,88189,2,8,0,0,0,2,0,5.9,31,-4,0,33,4,0,0,0,3,0,2,0,1,0.1,87741,0,0,0,0,701,8,0,0,103,Everton,Man City,Chelsea,Bournemouth,Southampton,0,0,0,0,0,39.3
Artur,Boruc,GLK,BOU,4100000,0,0,0,0,0,0,157183,0,0,0,0,0,0,0,0,180,-4,0,0,4,0,0,0,0,0,0,0,0,1.4,9755,0,0,0,0,0,113,0,0,0,Liverpool,Man Utd,Southampton,Swansea,Burnley,0,0,0,0,0,0
Sofiane,Boufal,MID,SOU,5700000,0,55,1.71875,3.01535087719298E-07,9.64912280701754E-06,0,23455,1,24,0,0,0,2,0,9.6,73,-3,0,55,3,0.1,0,0.5,2,0,1,0,2,0.2,17758,0,0,0,0,1206,34,0,0,215,Chelsea,Leicester,Bournemouth,Everton,Swansea,2,0,1.2,2.1,0.9,103.7
,Brad Smith,DEF,BOU,3900000,0,0,0,0,0,0,196224,0,0,0,0,0,0,0,0,766,-1,0,0,1,0,0,0,0,0,0,0,0,3.2,105977,0,0,0,0,0,1112,0,0,0,Liverpool,Man Utd,Southampton,Swansea,Burnley,0,0,0,0,0,0
Robbie,Brady,MID,BUR,5300000,0,56,3.7,6.9811320754717E-07,1.05660377358491E-05,0,212621,3,12,0,0,0,1,0,10.6,41,-2,0,56,2,0,0,0,7,0,6,0,4,0.5,198982,0,0,0,1,1277,7,0,0,216,Leicester,Chelsea,Stoke,Brighton,Arsenal,0,0,0,0,0,97.3
Claudio,Bravo,GLK,MCI,4500000,0,1,0.03125,6.94444444444444E-09,2.22222222222222E-07,0,40116,0,0,0,0,0,0,0,0.2,51,-5,1,1,5,0,0,0,0,0,0,0,0,0.5,8897,0,0,0,0,44,29,-1,0,4,Tottenham,Swansea,West Ham,Huddersfield,Brighton,0,0,0,0,0,0.3
Miguel,Britos,DEF,WAT,4300000,0,22,0.666666666666667,1.55038759689922E-07,5.11627906976744E-06,0,145642,3,16,0,0,0,1,0,5.1,28,-2,0,22,2,0,0,0,0,0,2,0,0,0.5,115398,0,0,0,0,795,10,0,1,149,Huddersfield,Crystal Palace,Tottenham,Newcastle,Man Utd,0.3,0.5,0.3,0.3,0.3,27.3
Leon,Britton,MID,SWA,4400000,0,9,0.28125,6.39204545454545E-08,2.04545454545455E-06,0,8868,1,1,0,0,0,0,0,2,6,-1,0,9,1,0,0,0,0,0,3,0,0,0.1,4176,0,0,0,0,269,6,0,0,25,Everton,Man City,Chelsea,Bournemouth,Southampton,0.1,0.1,0.1,0.2,0.1,1.6
Isaiah,Brown,MID,BHA,5200000,0,16,1.2,2.30769230769231E-07,3.07692307692308E-06,0,3923,0,8,0,0,0,0,0,3.1,2,-3,0,16,3,0,0,0,0,0,0,0,0,0,669,0,0,0,0,302,2,0,0,60,Crystal Palace,Tottenham,Burnley,Man Utd,Man City,0,0,0,0,0,14.5
Marcus,Browne,MID,WHU,4500000,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,7,0,0,0,Stoke,Arsenal,Man City,Leicester,Man Utd,0,0,0,0,0,0
