FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Lucas,Perez,FWD,ARS,7400000,0,0,0,0,0,0,8044,0,0,0,0,0,0,0,0,268,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,411,0,0,0,0,0,8,0,0,0,Watford,Everton,Swansea,Man City,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt,Phillips,MID,WBA,5900000,4,22,3.1,5.25423728813559E-07,3.72881355932203E-06,0,119506,0,4,0,0,0,0,0,3.7,12285,-1,0,22,1,0.5,0,2.7,0,0,4,0,2,1.4,64797,0,0,0,0,472,2746,0,0,65,Leicester,Southampton,Man City,Huddersfield,Chelsea,2.4,3.1,2.1,2.4,2.7,2.9,3.7,3.9,4,1.6,2.3,2,4.4,4.6,2,3.6,3,1.7,2.7,3,3,2.9,3.7,2.7,2.8,3.4,1.6,3.4,2.4,2.1,3.2,27.3
Jordan,Pickford,GLK,EVE,5000000,2,20,2.9,5.8E-07,4E-06,0,180495,0,12,0,21,0,0,0,4,27775,0,0,20,0,0.4,0,2,1,0,1,0,0,7.8,72280,0,0,0,0,630,1571,0,0,124,Brighton,Arsenal,Leicester,Watford,Crystal Palace,2.4,4.2,1.5,2.9,3.5,3.2,4.2,3.3,1.7,2,2.3,2.5,2.5,2,2.5,3.2,3.8,2.8,1.4,4.1,3.5,2.6,4.2,2,2,3.6,2.8,3.3,2.6,2.9,1.7,16.5
Jeremy,Pied,DEF,SOU,4300000,0,0,0,0,0,0,3645,0,0,0,0,0,0,0,0,277,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,1233,0,0,0,0,0,93,0,0,0,Newcastle,West Brom,Brighton,Burnley,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erik,Pieters,DEF,STK,4900000,2,13,1.9,3.87755102040816E-07,2.6530612244898E-06,0,26119,1,11,0,0,0,0,0,2.6,3391,-1,1,13,1,0.2,0,1,0,0,1,0,0,0.6,7188,0,0,0,0,628,324,-1,0,95,Man City,Bournemouth,Watford,Leicester,Brighton,1,1.9,1.9,1.4,1.2,2.3,2,1.2,1.6,1.3,2.4,2.1,1.3,1.3,1.8,1,1.8,1.5,1,2.4,1,1.7,1,1.6,1,1.3,1,1.5,1,2.7,1.4,20
Paul,Pogba,MID,MUN,8000000,0,31,7.8,9.75E-07,3.875E-06,0,1548522,1,2,0,0,0,2,0,3.9,81278,0,0,31,0,0,0,0,2,0,3,0,3,9.6,848936,0,0,0,1,360,743,0,0,100,Liverpool,Huddersfield,Tottenham,Chelsea,Newcastle,0,0,8.6,11,11.6,11.7,10.9,7.7,8.6,11.7,8.9,9,10.4,9.9,8.9,11.7,10.3,11,10.9,9,10,9.8,11.7,8,9.8,8,11.5,8.9,11.7,8.2,8.6,48.1
Nick,Pope,GLK,BUR,4500000,9,21,5.3,1.17777777777778E-06,4.66666666666667E-06,0,6643,1,1,0,17,0,0,0,4.7,2845,0,0,21,0,1.4,0,6.3,3,0,2,0,0,0.6,28857,0,0,0,0,324,16729,0,0,93,West Ham,Man City,Newcastle,Southampton,Swansea,8,5.5,6.6,8,4.8,8,6.2,5.3,5.7,6.9,6.6,5.1,5,7.3,7.2,7.4,5.1,6.3,4.3,7.6,5.9,6.2,5.8,5.2,6.9,8,5.6,6.4,7.8,4.4,6.8,13.1
Sebastian,Prodl,DEF,WAT,4400000,0,12,0.571428571428571,1.2987012987013E-07,2.72727272727273E-06,0,20758,0,0,0,0,0,0,0,2.7,1743,-1,0,12,1,0,0,0,0,0,2,0,0,0.3,6874,0,0,0,0,180,89,0,0,48,Arsenal,Chelsea,Stoke,Everton,West Ham,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.6,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,5.3
Davy,Propper,MID,BHA,5400000,2,16,2.3,4.25925925925926E-07,2.96296296296296E-06,0,7253,0,9,0,0,0,0,0,3,850,-1,0,16,1,0.4,0,2.3,0,0,2,0,0,0.1,3974,0,0,0,0,630,454,0,0,95,Everton,West Ham,Southampton,Swansea,Stoke,3.1,1.2,1.8,2.4,2.3,1.2,2.7,2.4,1.2,1.6,1.9,1.4,1.7,1.2,2.9,1.2,1.8,1.7,3.2,1.2,2.3,3.4,1.6,1.2,2.6,2.1,1.8,1.4,1.4,1.5,1.2,18.9
Marc,Pugh,MID,BOU,4800000,2,6,0.285714285714286,5.95238095238095E-08,1.25E-06,0,3481,1,4,0,0,0,0,0,1.3,337,-2,0,6,2,0.3,0,1.3,0,0,1,0,0,0.1,1068,0,0,0,0,233,337,0,0,18,Tottenham,Stoke,Chelsea,Newcastle,Huddersfield,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,17.2
