FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Asmir,Begovic,GLK,BOU,4500000,0,87,3,6.66666666666667E-07,1.93333333333333E-05,0,241324,2,44,0,81,0,0,0,19.3,8,0,0,87,0,0.2,0,1,4,0,5,0,0,4.2,174230,0,0,1,3,2610,51,0,0,475,West Brom,Watford,Crystal Palace,Liverpool,Man Utd,3.4,3,4.2,2.7,3.2,3.1,3.1,2.9,60.3
Valon,Behrami,MID,WAT,4500000,0,0,0,0,0,0,9982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,645,0,0,0,0,0,0,0,0,0,Liverpool,Bournemouth,Burnley,Huddersfield,Crystal Palace,0,0,0,0,0,0,0,0,0
Hector,Bellerin,DEF,ARS,6000000,0,101,3.5,5.83333333333333E-07,1.68333333333333E-05,0,870111,4,39,0,0,0,2,0,16.8,327,0,0,101,0,0.2,0,1,7,0,9,0,2,10.2,654422,0,0,0,1,2527,3,0,0,510,Stoke,Southampton,Newcastle,West Ham,Man Utd,0,0,0,2.5,5.1,2.4,4.5,2.6,137
Yohan,Benalouane,DEF,LEI,4200000,0,0,0,0,0,0,3574,0,0,0,0,0,0,0,0,0,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,1528,0,0,0,0,0,0,0,0,0,Brighton,Newcastle,Burnley,Southampton,Crystal Palace,0,0,0,0,0,0,0,0,0
Christian,Benteke,FWD,CRY,7600000,0,71,3.1,4.07894736842105E-07,9.3421052631579E-06,0,453262,5,32,0,0,0,2,0,9.3,7,-4,0,71,4,0.4,1,3,5,0,5,0,7,2.6,127374,0,0,0,0,1928,35,0,0,133,Huddersfield,Liverpool,Bournemouth,Brighton,Watford,2.7,2.9,3,3.8,2.8,3.7,3,3.8,131.8
Saido,Berahino,FWD,STK,5600000,0,18,0.6,1.07142857142857E-07,3.21428571428571E-06,0,35111,0,9,0,0,0,0,0,3.2,1,-4,0,18,4,0.1,1,0.3,0,0,2,0,1,0.3,14800,0,0,0,0,440,0,0,0,38,Everton,Arsenal,Tottenham,West Ham,Burnley,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,21.3
Steven,Berghuis,MID,WAT,5000000,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,Liverpool,Bournemouth,Burnley,Huddersfield,Crystal Palace,0,0,0,0,0,0,0,0,0
,Bernardo Silva,MID,MCI,7500000,0,83,2.76666666666667,3.68888888888889E-07,1.10666666666667E-05,0,138128,0,6,0,0,0,4,0,11.1,12,-5,0,83,5,0.7,0,5.3,3,0,7,0,5,2.1,140008,0,0,0,1,1124,90,0,0,338,Everton,Man Utd,Tottenham,Swansea,West Ham,0,2.4,2.1,1.6,2.7,2.1,3.1,2.3,104.4
Ryan,Bertrand,DEF,SOU,5300000,0,75,2.9,5.47169811320755E-07,1.41509433962264E-05,0,785285,1,35,0,0,0,0,0,14.2,4,-2,0,75,2,0.4,0,2.3,4,0,5,0,4,5.2,302075,0,0,0,1,2335,10,0,0,432,West Ham,Arsenal,Chelsea,Leicester,Bournemouth,0,3,2.7,3.1,2.4,2.5,2,2.4,110.8
Muhamed,Besic,MID,EVE,4200000,0,2,1,2.38095238095238E-07,4.76190476190476E-07,0,14984,0,0,0,0,0,0,0,0.5,0,-3,0,2,3,0,0,0,0,0,0,0,0,0.2,11564,0,0,0,0,46,0,0,0,10,Stoke,Man City,Liverpool,Swansea,Newcastle,0,0,0,0,0,0,0,0,3
Philip,Billing,MID,HUD,4400000,0,16,0.533333333333333,1.21212121212121E-07,3.63636363636364E-06,0,38200,3,9,0,0,0,0,0,3.6,0,-1,0,16,1,0.1,0,0.5,0,0,3,0,0,0.2,32062,0,0,0,0,600,0,0,0,70,Crystal Palace,Newcastle,Brighton,Watford,Chelsea,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,15
Daley,Blind,DEF,MUN,5100000,0,20,0.666666666666667,1.30718954248366E-07,3.92156862745098E-06,0,188665,0,0,0,0,0,0,0,3.9,2,-4,0,20,4,0,0,0,0,0,3,0,0,0.9,135728,0,0,0,0,274,0,0,0,88,Swansea,Man City,West Brom,Bournemouth,Arsenal,0,0.3,0.3,0.3,0.3,0.4,0.3,0.4,15.1
Jeremie,Boga,MID,CHE,6000000,0,1,1,1.66666666666667E-07,1.66666666666667E-07,0,994,0,0,0,0,0,0,0,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,543,0,0,0,0,17,0,0,0,1,Tottenham,West Ham,Southampton,Huddersfield,Swansea,0,0,0,0,0,0,0,0,0
,Bojan,MID,STK,5500000,0,2,2,3.63636363636364E-07,3.63636363636364E-07,0,6597,0,1,0,0,0,0,0,0.4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1879,0,0,0,0,71,0,0,0,5,Everton,Arsenal,Tottenham,West Ham,Burnley,0,0,0,0,0,0,0,0,1.9
Yannick,Bolasie,MID,EVE,6400000,0,12,0.4,6.25E-08,1.875E-06,0,9244,0,9,0,0,0,0,0,1.9,2,-1,0,12,1,0.1,0,0.5,0,0,1,0,0,0.1,6775,0,0,0,0,346,0,0,0,23,Stoke,Man City,Liverpool,Swansea,Newcastle,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,9.3
Gaetan,Bong,DEF,BHA,4400000,0,44,2.8,6.36363636363636E-07,1E-05,0,11825,1,20,0,0,0,0,0,10,0,-1,0,44,1,0.3,0,1.5,3,0,4,0,0,0.2,12718,0,0,0,1,1440,0,0,0,268,Leicester,Huddersfield,Crystal Palace,Tottenham,Burnley,0,2.9,3.4,3.3,3.1,2.4,3.1,2.2,33.6
Wilfried,Bony,FWD,SWA,5600000,0,33,1.1,1.96428571428571E-07,5.89285714285714E-06,0,87818,2,8,0,0,0,2,0,5.9,3,-4,0,33,4,0,0,0,3,0,2,0,1,0.1,87659,0,0,0,0,701,0,0,0,103,Man Utd,West Brom,Everton,Man City,Chelsea,0,0,0,0,0,0.6,0.6,0.8,39.3
Artur,Boruc,GLK,BOU,4100000,0,0,0,0,0,0,154823,0,0,0,0,0,0,0,0,2,-4,0,0,4,0,0,0,0,0,0,0,0,1.4,8313,0,0,0,0,0,1,0,0,0,West Brom,Watford,Crystal Palace,Liverpool,Man Utd,0,0,0,0,0,0,0,0,0
Sofiane,Boufal,MID,SOU,5700000,0,54,1.8,3.15789473684211E-07,9.47368421052632E-06,0,22778,1,24,0,0,0,2,0,9.5,2,-3,0,54,3,0.1,0,0.8,2,0,1,0,2,0.2,17528,0,0,0,0,1183,2,0,0,214,West Ham,Arsenal,Chelsea,Leicester,Bournemouth,0,1.1,0.9,1.1,1.1,1.3,1.3,0.9,98.9
,Brad Smith,DEF,BOU,3900000,0,0,0,0,0,0,188578,0,0,0,0,0,0,0,0,6,-1,0,0,1,0,0,0,0,0,0,0,0,3.1,95946,0,0,0,0,0,8,0,0,0,West Brom,Watford,Crystal Palace,Liverpool,Man Utd,0,0,0,0,0,0,0,0,0
Robbie,Brady,MID,BUR,5300000,0,56,1.86666666666667,3.52201257861635E-07,1.05660377358491E-05,0,212178,3,12,0,0,0,1,0,10.6,1,-2,0,56,2,0,0,0,7,0,6,0,4,0.5,198948,0,0,0,1,1277,0,0,0,216,West Brom,Watford,Leicester,Stoke,Brighton,0,0,0,0,0,1.4,0.9,1.5,97.3
Claudio,Bravo,GLK,MCI,4600000,0,1,0.0333333333333333,7.2463768115942E-09,2.17391304347826E-07,0,39695,0,0,0,0,0,0,0,0.2,0,-4,0,1,4,0,0,0,0,0,0,0,0,0.5,8641,0,0,0,0,44,0,0,0,4,Everton,Man Utd,Tottenham,Swansea,West Ham,0,0,0,0,0,0,0,0,0.3
