FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW1Forecast,GW2Forecast,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Ashley,Westwood,MID,BUR,4500000,0,13,9.40371786913684E-28,2.08971508203041E-34,2.88888888888889E-06,0,0,3,9,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0.1,0,0,0,0,0,551,0,0,0,68,Chelsea,West Brom,Tottenham,Crystal Palace,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8
Glenn,Whelan,MID,STK,4500000,0,62,1.63157894736842,3.62573099415205E-07,1.37777777777778E-05,0,0,5,40,0,0,0,0,0,0,0,0,0,62,0,0,0,0,3,0,7,0,1,0,0,1,0,0,0,2276,0,0,0,380,Everton,Arsenal,West Brom,Man Utd,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
Dean,Whitehead,MID,HUD,4500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,Crystal Palace,Newcastle,Southampton,West Ham,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connor,Wickham,FWD,CRY,5500000,0,18,0.473684210526316,8.61244019138756E-08,3.27272727272727E-06,0,0,1,6,0,0,0,2,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,0,0,0,59,Huddersfield,Liverpool,Swansea,Burnley,Southampton,0,0,0,0,0,0.2,0.2,0.2,0.6,0.2,0.2,0.2,0.2,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.7,0.2,0.2,0.2,0.2,0.6,0.2,0.2,0.7,0.2,0.2,0.2,0.2,25
Georginio,Wijnaldum,MID,LIV,7000000,0,149,3.92105263157895,5.6015037593985E-07,2.12857142857143E-05,0,0,2,37,0,0,0,6,0,0,0,0,0,149,0,0,0,0,14,0,11,0,9,7.6,0,0,0,0,0,2974,0,0,0,650,Watford,Crystal Palace,Arsenal,Man City,Burnley,4.2,4.2,3.2,2.8,4.8,3.7,4.9,3.8,2.6,5.6,2.8,4.3,4,3.8,4.9,4.2,4.3,3.8,2.5,4.4,4.5,4,3.6,3.6,4.9,3.3,3.5,3.5,5.6,3.1,5,3.5,3.5,4.6,3.5,4.6,3.2,5.6,198.5
Ashley,Williams,DEF,EVE,5500000,0,127,3.34210526315789,6.07655502392344E-07,2.30909090909091E-05,0,0,7,40,0,0,0,1,0,0,0,0,0,127,0,0,0,0,9,0,13,0,3,5.8,0,0,0,0,0,3160,0,0,1,739,Stoke,Man City,Chelsea,Tottenham,Man Utd,4.4,3.1,3.1,3.5,2.8,2.5,4,4.1,0,2.4,3.4,3.8,3.8,4.5,4.7,2.6,4.1,4.1,3.7,3.1,1.9,3.4,2.9,3.7,3,3.6,4.5,2.8,3.4,4.7,3.8,3.8,3.2,3.5,4.7,4.1,4.4,3.9,133.9
Danny,Williams,MID,HUD,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,Crystal Palace,Newcastle,Southampton,West Ham,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Willian,MID,CHE,7000000,0,114,3,4.28571428571429E-07,1.62857142857143E-05,0,0,3,19,0,0,0,8,0,0,0,0,0,114,0,0,0,0,13,0,6,0,3,17.5,0,0,0,0,0,1534,0,0,0,441,Burnley,Tottenham,Everton,Leicester,Arsenal,3.3,1.6,2.8,2.4,2.1,2.5,2.3,2.3,3.4,2.5,2.5,2.3,1.8,2.9,4.3,1.8,3.7,2.9,2.3,4.3,3.1,1.6,3,3.7,3.1,2.8,2.9,2,1.8,2.8,2.7,2.2,2.3,2.3,4.3,2.3,2.4,3.7,182.1
Jack,Wilshere,MID,ARS,5500000,0,61,1.60526315789474,2.91866028708134E-07,1.10909090909091E-05,0,0,4,45,0,0,0,0,0,0,0,0,0,61,0,0,0,0,2,0,5,0,3,0,0,0,0,0,0,1950,0,0,0,312,Leicester,Stoke,Liverpool,Bournemouth,Chelsea,0,0,0,1.2,0.8,1.1,2.3,1,0,1.1,0.8,0.8,1,2.3,0.9,0.8,0.8,2.3,0.8,0.8,0.8,1,0.9,1,0.8,1,0.8,0.8,2,1.3,0.9,1.2,1.1,2,0.8,0.8,1.2,2,116.8
Kevin,Wimmer,DEF,TOT,4500000,0,2,1.44672582602105E-28,3.21494628004678E-35,4.44444444444444E-07,0,0,3,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.3,0,1,0,0,0,357,0,0,0,26,Newcastle,Chelsea,Burnley,Everton,Swansea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4
