FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rob,Holding,DEF,ARS,4400000,0,20,0.588235294117647,1.33689839572193E-07,4.54545454545455E-06,0,110126,2,14,0,0,0,0,0,4.5,129,-6,0,20,6,0.1,0,0.5,0,0,2,0,1,0.6,28256,0,0,0,0,639,48,0,0,153,Man Utd,Burnley,Leicester,Huddersfield,,0.3,0.6,0.3,22.4
Jose,Holebas,DEF,WAT,4800000,6,68,2.7,5.625E-07,1.41666666666667E-05,0,73588,6,43,0,0,0,0,0,14.2,288,-2,0,68,2,0.5,0,2.5,6,0,6,0,4,0.6,69645,0,0,0,0,2111,152,0,0,383,Tottenham,Newcastle,Man Utd,,,2.1,2.6,1.8,115.4
Mason,Holgate,DEF,EVE,4000000,0,37,2.5,6.25E-07,9.25E-06,0,215183,3,14,0,0,0,0,0,9.3,855,-5,0,37,5,0,0,0,0,0,4,0,0,1.1,201858,0,0,0,0,1183,29,0,0,214,Huddersfield,Southampton,West Ham,,,0,0,0,48.5
Mark,Hudson,DEF,HUD,4000000,0,0,0,0,0,0,18714,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1285,0,0,0,0,0,0,0,0,0,Everton,Man City,Chelsea,Arsenal,,0,0,0,0
Callum,Hudson-Odoi,MID,CHE,4500000,0,2,0.0588235294117647,1.30718954248366E-08,4.44444444444444E-07,0,397,0,1,0,0,0,0,0,0.4,7,0,0,2,0,0.1,0,0.3,0,0,0,0,0,0,545,0,0,0,0,27,2,0,0,11,Swansea,Liverpool,Huddersfield,Newcastle,,0,0,0,3.8
Will,Hughes,MID,WAT,4600000,3,47,1.34285714285714,2.91925465838509E-07,1.02173913043478E-05,0,77601,0,12,0,0,0,2,0,10.2,439,-4,0,47,4,0.8,0,3.8,5,0,4,0,3,0.3,76619,0,0,0,1,725,461,0,0,160,Tottenham,Newcastle,Man Utd,,,0.7,0.9,0.7,58.2
Jordan,Hugill,FWD,WHU,5000000,0,3,0.0882352941176471,1.76470588235294E-08,6E-07,0,1438,0,0,0,0,0,0,0,0.6,16,-5,0,3,5,0.1,0,0.3,0,0,0,0,0,0,1873,0,0,0,0,22,7,0,0,4,Man City,Leicester,Man Utd,Everton,,0,0,0,0
Uwe,Hunemeier,DEF,BHA,3800000,0,1,0.0294117647058824,7.73993808049536E-09,2.63157894736842E-07,0,417401,0,1,0,0,0,0,0,0.3,1169,-2,1,1,2,0,0,0,0,0,0,0,0,5.1,344840,0,0,0,0,17,3905,-1,0,5,Burnley,Man Utd,Man City,Liverpool,,0,0,0,0.9
Robert,Huth,DEF,LEI,4800000,0,0,0,0,0,0,5600,0,0,0,0,0,0,0,0,14,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,2350,0,0,0,0,0,16,0,0,0,Crystal Palace,West Ham,Arsenal,Tottenham,,0,0,0,0
Emerson,Hyndman,MID,BOU,4500000,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,3,0,0,0,Southampton,Swansea,Burnley,,,0,0,0,0
Jordon,Ibe,MID,BOU,4700000,0,82,2.7,5.74468085106383E-07,1.74468085106383E-05,0,155455,1,32,0,0,0,2,0,17.4,1121,-3,0,82,3,0.2,0,1,5,0,4,0,6,1.2,191896,0,0,0,1,1872,303,0,0,278,Southampton,Swansea,Burnley,,,2.1,2.6,2.1,149.4
Vicente,Iborra,MID,LEI,5700000,0,55,3.2,5.6140350877193E-07,9.64912280701754E-06,0,25619,0,17,0,0,0,3,0,9.6,381,-3,0,55,3,0.4,0,2.5,6,0,3,0,0,0.2,22055,0,0,0,0,1276,3,0,0,276,Crystal Palace,West Ham,Arsenal,Tottenham,,0,0,0,60.4
Zlatan,Ibrahimovic,FWD,MUN,9500000,0,5,1,1.05263157894737E-07,5.26315789473684E-07,0,40070,0,2,0,0,0,0,0,0.5,34,-5,0,5,5,0,0,0,0,0,0,0,0,0.1,38431,0,0,0,0,102,35,0,0,18,Arsenal,Brighton,West Ham,Watford,,0,0,0,12.6
Kelechi,Iheanacho,FWD,LEI,6500000,0,38,1.11764705882353,1.71945701357466E-07,5.84615384615385E-06,0,146312,2,8,0,0,0,1,0,5.8,191,-5,0,38,5,0.2,0,1.3,3,0,1,0,4,0.8,26034,0,0,0,0,573,80,0,0,108,Crystal Palace,West Ham,Arsenal,Tottenham,,0.6,1.4,0.6,44.8
Giannelli,Imbula,MID,STK,4500000,0,0,0,0,0,0,8452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,975,0,0,0,0,0,0,0,0,0,Liverpool,Crystal Palace,Swansea,,,0,0,0,0
Tom,Ince,MID,HUD,5500000,0,80,2.5,4.54545454545455E-07,1.45454545454545E-05,0,97011,0,38,0,0,0,2,0,14.5,68,-5,0,80,5,0.5,0,2.7,3,0,7,0,1,0.5,37884,0,0,0,0,2390,65,0,0,265,Everton,Man City,Chelsea,Arsenal,,3,2.5,2.7,134.8
Danny,Ings,FWD,LIV,5400000,6,15,0.428571428571429,7.93650793650794E-08,2.77777777777778E-06,0,8734,0,0,0,0,0,1,0,2.8,151,-1,0,15,1,0.4,0,2,0,0,2,0,1,0.1,8543,0,0,0,0,192,755,0,0,48,Stoke,Chelsea,Brighton,,,0.2,0.2,0.2,18.7
Stephen,Ireland,MID,STK,4500000,1,3,0.0857142857142857,1.9047619047619E-08,6.66666666666667E-07,0,1995,1,4,0,0,0,0,0,0.7,9,0,0,3,0,0.1,0,0.5,0,0,0,0,0,0,2260,0,0,0,0,114,5,0,0,9,Liverpool,Crystal Palace,Swansea,,,0,0,0,3.6
Alex,Iwobi,MID,ARS,5100000,2,74,3.4,6.66666666666667E-07,1.45098039215686E-05,0,214258,1,22,0,0,0,2,0,14.5,1085,-4,0,74,4,0.6,0,3.3,2,0,7,0,5,1,112851,0,0,0,0,1493,1019,0,0,340,Man Utd,Burnley,Leicester,Huddersfield,,1.7,6,2.3,141.7
,Izquierdo,MID,BHA,5900000,0,90,2.64705882352941,4.48654037886341E-07,1.52542372881356E-05,0,24962,2,29,0,0,0,5,0,15.3,305,-1,0,90,1,0.7,0,4,4,0,3,0,4,0.3,40356,0,0,0,1,1727,317,0,0,293,Burnley,Man Utd,Man City,Liverpool,,1.8,3.3,1.3,118.9
Jaroslaw,Jach,DEF,CRY,4300000,0,0,0,0,0,0,268,0,0,0,0,0,0,0,0,5,-2,0,0,2,0,0,0,0,0,0,0,0,0,353,0,0,0,0,0,1,0,0,0,Leicester,Stoke,West Brom,,,0,0,0,0
Phil,Jagielka,DEF,EVE,4700000,7,51,2.3,4.8936170212766E-07,1.08510638297872E-05,0,358033,2,35,0,0,0,0,0,10.9,377,-3,0,51,3,0.9,0,4,5,0,5,0,0,2.6,121945,0,0,0,1,1804,849,0,0,358,Huddersfield,Southampton,West Ham,,,1.4,2.4,1.8,56.6
Eldin,Jakupovic,GLK,LEI,4200000,0,0,0,0,0,0,9974,0,0,0,0,0,0,0,0,12,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,1723,0,0,0,0,0,3,0,0,0,Crystal Palace,West Ham,Arsenal,Tottenham,,0,0,0,0
Matty,James,MID,LEI,4400000,0,26,2,4.54545454545455E-07,5.90909090909091E-06,0,28311,2,15,0,0,0,0,0,5.9,27,-1,0,26,1,0,0,0,0,0,4,0,0,0.2,19932,0,0,0,0,991,2,0,0,121,Crystal Palace,West Ham,Arsenal,Tottenham,,0,0,0,31.4
Kyle,Jameson,DEF,WBA,4000000,0,0,0,0,0,0,1348,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0.1,3534,0,0,0,0,0,49,0,0,0,Newcastle,Tottenham,Crystal Palace,,,0,0,0,0
Daryl,Janmaat,DEF,WAT,4800000,0,55,1.57142857142857,3.27380952380952E-07,1.14583333333333E-05,0,44437,3,35,0,0,0,3,0,11.5,904,-2,0,55,2,0.2,0,0.8,3,0,2,0,1,0.5,57004,0,0,0,2,1638,30,0,0,308,Tottenham,Newcastle,Man Utd,,,0.9,1.1,0.8,84.8
Vincent,Janssen,FWD,TOT,7400000,0,1,1,1.35135135135135E-07,1.35135135135135E-07,0,9044,0,0,0,0,0,0,0,0.1,1,-1,0,1,1,0,0,0,0,0,0,0,0,0.1,990,0,0,0,0,1,2,0,0,2,Watford,West Brom,Newcastle,Leicester,,0,0,0,0
