FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Leroy,Fer,MID,SWA,5300000,1,23,1.9,3.58490566037736E-07,4.33962264150943E-06,0,34435,4,13,0,0,0,0,0,4.3,683,-2,1,23,2,0.3,0,1.7,0,0,3,0,1,0.2,16093,0,0,0,0,867,52,-1,0,112,Chelsea,Stoke,West Brom,Man City,Everton,1.3,1.2,1.4,1,1.6,1.6,1,1.3,1.1,1.3,1.2,1.6,1.3,1.1,1,1.6,1.2,1.1,1,1.2,1.8,1,1,1.5,1.2,31.8
Edimilson,Fernandes,MID,WHU,4400000,0,7,0.538461538461538,1.22377622377622E-07,1.59090909090909E-06,0,12909,1,11,0,0,0,0,0,1.6,386,-1,0,7,1,0.1,0,0.3,0,0,0,0,0,0.2,6053,0,0,0,0,322,102,0,0,33,Everton,Man City,Chelsea,Arsenal,Stoke,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,9.2
Federico,Fernandez,DEF,SWA,4500000,0,37,3.1,6.88888888888889E-07,8.22222222222222E-06,0,131925,1,15,0,0,0,0,0,8.2,25533,0,0,37,0,0.2,0,0.7,6,0,4,0,0,2.6,172857,1,0,0,0,1080,98,0,0,219,Chelsea,Stoke,West Brom,Man City,Everton,0,0,3.6,2.1,2.3,4.6,2.7,4,3,2.8,3.6,3.7,2.5,2.9,3.4,3.7,3.2,2.8,2,3.3,2.6,2.4,2.6,2.9,3.1,35.2
,Fernandinho,MID,MCI,5200000,1,51,3.9,7.5E-07,9.80769230769231E-06,0,237259,4,8,0,0,0,2,0,9.8,29412,2,0,51,-2,0.6,0,3,3,0,7,0,3,8.2,531860,0,0,0,1,1139,25381,0,0,255,Southampton,West Ham,Man Utd,Swansea,Tottenham,3.7,4.7,2.4,4.9,3.6,4.4,4,3.5,2.9,2.6,4.6,4.4,3.9,4.1,2.9,3.3,3.6,3.7,4.5,4.1,3.4,4.5,3.8,4.9,3.9,69.7
,Fernando,MID,MCI,4500000,0,0,0,0,0,0,4119,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,425,0,0,0,0,0,8,0,0,0,Southampton,West Ham,Man Utd,Swansea,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam,Field,MID,WBA,4500000,3,9,0.692307692307692,1.53846153846154E-07,2E-06,0,13899,0,0,0,0,0,0,0,2,266,0,0,9,0,0.2,0,1,0,0,3,0,0,0.2,15440,0,0,0,0,220,71,0,0,21,Newcastle,Crystal Palace,Swansea,Liverpool,Man Utd,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,3.8
Roberto,Firmino,FWD,LIV,8500000,0,52,4.3,5.05882352941176E-07,6.11764705882353E-06,0,1576012,0,12,0,0,0,3,0,6.1,61410,0,0,52,0,0.3,0,2.3,8,0,5,0,3,17.5,1292099,0,0,0,1,874,40612,0,0,203,Stoke,Brighton,Everton,West Brom,Bournemouth,4.7,3.8,6.4,6.2,3.7,2.3,5,5.8,3.5,5,3.8,3.2,4.9,3.8,6.2,6,2.4,4.7,4.2,4.5,5.5,4.1,6.4,3.2,5.9,94.7
Jon,Flanagan,DEF,LIV,4500000,0,0,0,0,0,0,707,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,628,0,0,0,0,0,33,0,0,0,Stoke,Brighton,Everton,West Brom,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashley,Fletcher,FWD,WHU,4500000,0,0,0,0,0,0,29831,0,0,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0.3,4831,0,0,0,0,0,171,0,0,0,Everton,Man City,Chelsea,Arsenal,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darren,Fletcher,MID,STK,4900000,2,36,2.8,5.71428571428571E-07,7.3469387755102E-06,0,38267,0,26,0,0,0,1,0,7.3,2385,-1,0,36,1,0.4,0,2,3,0,2,0,0,0.7,23830,0,0,0,1,1170,606,0,0,180,Liverpool,Swansea,Tottenham,Burnley,West Ham,2.5,2.9,1.9,2.2,3.1,2.8,2,2.2,3,1.4,3.2,1.8,2.4,2.3,2.1,2.2,1.5,3.4,1.5,2.3,2.1,2.4,1.4,3.1,2.9,49.5
Phil,Foden,MID,MCI,4700000,0,0,0,0,0,0,2055,0,0,0,0,0,0,0,0,37,-3,0,0,3,0,0,0,0,0,0,0,0,0,537,0,0,0,0,0,24,0,0,0,Southampton,West Ham,Man Utd,Swansea,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jose,Fonte,DEF,WHU,4800000,0,34,2.61538461538462,5.44871794871795E-07,7.08333333333333E-06,0,127910,0,11,0,0,0,0,0,6.9,5207,-2,1,34,2,0,0,0,3,0,3,0,2,1.3,76570,0,0,0,0,688,22,-1,0,156,Everton,Man City,Chelsea,Arsenal,Stoke,0,1.4,2.4,3.3,1.9,2.8,1.8,1.9,3.2,2,2.6,3.9,2.2,2.6,1.6,1.9,2.7,2.8,2.6,2.1,2.8,1.4,2,1.5,2.4,33.4
Fraser,Forster,GLK,SOU,5100000,2,55,4.2,8.23529411764706E-07,1.07843137254902E-05,0,262236,0,15,0,35,0,0,0,10.8,26455,1,0,55,-1,0.4,0,2,5,0,4,0,0,8.2,329223,0,0,1,1,1170,952,0,0,229,Man City,Bournemouth,Arsenal,Leicester,Chelsea,3.8,4.5,5.6,4.2,5,6,4.8,3.3,6.2,5.9,4.8,5.5,5,5.5,5,4.9,4.4,4.6,4.9,3.7,4.2,4,4.6,3.7,3.6,26.3
Ben,Foster,GLK,WBA,4400000,2,34,2.8,6.36363636363636E-07,7.72727272727273E-06,0,434734,2,18,0,28,0,0,0,7.7,14205,-1,0,34,1,0.4,0,1.7,1,0,3,0,0,11.2,293602,0,0,0,0,1080,4514,0,0,187,Newcastle,Crystal Palace,Swansea,Liverpool,Man Utd,3,4.2,2.2,1.9,3,2.3,2.5,3.5,2.4,3.4,1.6,1.7,2.7,2.5,3.7,3.1,2.5,2.1,2.8,2.5,1.4,3.4,2.1,2.9,3.1,20.2
Timothy,Fosu-Mensah,DEF,CRY,4400000,0,12,1.3,2.95454545454545E-07,2.72727272727273E-06,0,69606,0,15,0,0,0,0,0,2.7,1823,-1,1,12,1,0.2,0,0.7,0,0,0,0,0,0.9,29113,0,0,0,0,701,307,-1,0,130,Brighton,West Brom,Bournemouth,Watford,Leicester,0.6,0.6,0.9,0.9,0.6,0.6,1.2,0.6,0.6,0.9,0.6,0.6,1,0.6,1,1,0.6,0.6,1.2,0.6,1.2,0.8,0.8,0.6,1.2,21.1
Juan,Foyth,DEF,TOT,4500000,0,0,0,0,0,0,785,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,922,0,0,0,0,0,31,0,0,0,Leicester,Watford,Stoke,Brighton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
