FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Ahmed El-Sayed,Hegazi,DEF,WBA,4600000,7,83,3.2,6.95652173913044E-07,1.80434782608696E-05,0,1239091,3,36,0,0,0,2,0,18,7189,1,0,83,-1,0.9,0,4.3,7,0,7,0,0,19.9,1783342,0,0,0,1,2306,40096,0,0,445,Chelsea,Huddersfield,Watford,Leicester,Bournemouth,2.8,4.1,3.3,3.4,2.3,3.8,3.4,2.2,3.8,2.5,3.6,3.7,91.1
Tomer,Hemed,FWD,BHA,4700000,0,43,2.7,5.74468085106383E-07,9.14893617021277E-06,0,253894,0,8,0,0,0,2,0,9.1,2446,-3,1,43,3,0.1,0,0.5,5,0,3,0,2,1.1,283995,0,0,0,0,842,1726,-1,0,110,Stoke,Swansea,Arsenal,Everton,Man City,2.4,2.7,2.9,1.9,1.9,3,3.3,2,2.6,1.9,2.7,1.6,44.2
Jordan,Henderson,MID,LIV,5300000,3,52,2.9,5.47169811320755E-07,9.81132075471698E-06,0,162348,1,18,0,0,0,1,0,9.8,293,-2,0,52,2,0.3,0,1.5,3,0,8,0,1,1.1,123372,0,0,0,0,1418,353,0,0,249,Southampton,West Ham,Newcastle,Man Utd,Watford,2.2,3.1,2.9,1.4,2.4,2,2.5,2.9,2.2,2.8,1.9,2.8,68.1
Jeff,Hendrick,MID,BUR,5400000,2,66,2.9,5.37037037037037E-07,1.22222222222222E-05,0,22247,0,17,0,0,0,2,0,12.2,219,-1,0,66,1,0.4,0,2,1,0,8,0,1,0.2,22555,0,0,0,0,1796,181,0,0,225,Swansea,Southampton,Everton,West Ham,Chelsea,2.4,2.5,3.4,2.3,2.3,2.3,2.2,2.7,2.1,2.7,1.8,2.8,74
Wayne,Hennessey,GLK,CRY,4300000,5,56,3.7,8.6046511627907E-07,1.30232558139535E-05,0,91133,0,25,0,57,0,0,0,13,1347,-2,0,56,2,1,0,4.3,8,0,3,0,0,1.7,99067,0,0,0,0,1350,4826,0,0,293,Everton,Tottenham,Man Utd,Chelsea,Huddersfield,2.6,4.4,4.4,3.6,3.3,4.6,3,5.1,4.2,4.1,3.7,4.5,40.9
Dion,Henry,GLK,CRY,4000000,0,0,0,0,0,0,2677,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0.1,6190,0,0,0,0,0,118,0,0,0,Everton,Tottenham,Man Utd,Chelsea,Huddersfield,0,0,0,0,0,0,0,0,0,0,0,0,0
Ander,Herrera,MID,MUN,5000000,0,29,1.11538461538462,2.23076923076923E-07,5.8E-06,0,194248,4,11,0,0,0,0,0,5.8,349,-5,0,29,5,0.1,0,0.5,0,0,3,0,1,1.2,27063,0,0,0,0,871,94,0,0,142,Newcastle,Chelsea,Crystal Palace,Liverpool,West Ham,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.8,0.6,0.7,0.6,0.6,43.6
Wesley,Hoedt,DEF,SOU,5000000,4,38,2.4,4.8E-07,7.6E-06,0,6968,4,24,0,0,0,0,0,7.6,130,0,0,38,0,0.5,0,2.3,3,0,2,0,2,0.1,9326,0,0,0,0,1440,132,0,0,300,Liverpool,Burnley,Stoke,Newcastle,Swansea,2.3,2.2,2.5,1.8,1.8,2.2,1.9,2.2,1.6,1.8,1.4,1.8,54.9
Jonathan,Hogg,MID,HUD,4400000,1,30,1.7,3.86363636363636E-07,6.81818181818182E-06,0,32765,4,29,0,0,0,0,0,6.8,203,-1,0,30,1,0.3,0,1.5,0,0,4,0,0,0.3,41376,0,0,0,0,1368,156,0,1,232,Bournemouth,West Brom,Tottenham,Swansea,Crystal Palace,1.4,0.8,0.8,1.3,1.3,0.9,0.8,1.1,0.8,1.7,0.8,1.5,33.7
Pierre-Emile,H?jbjerg,MID,SOU,4300000,1,21,0.807692307692308,1.8783542039356E-07,4.88372093023256E-06,0,30450,3,14,0,0,0,0,0,4.9,375,-2,0,21,2,0.3,0,1.5,0,0,1,0,0,0.4,31098,0,0,0,0,841,293,0,0,150,Liverpool,Burnley,Stoke,Newcastle,Swansea,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,34.5
